sessao,perguntaId,configuracao,escolha,dataHora
40752e2e-3424-4bb6-aac2-54c340ba5164,q01,2,B,2026-06-08T21:46:34.911752
40752e2e-3424-4bb6-aac2-54c340ba5164,q02,1,B,2026-06-08T21:47:27.915158
40752e2e-3424-4bb6-aac2-54c340ba5164,q03,2,A,2026-06-08T21:48:33.105632
40752e2e-3424-4bb6-aac2-54c340ba5164,q04,1,A,2026-06-08T21:49:27.830674
40752e2e-3424-4bb6-aac2-54c340ba5164,q05,2,A,2026-06-08T21:55:40.713628
40752e2e-3424-4bb6-aac2-54c340ba5164,q06,1,A,2026-06-08T21:56:49.141760
40752e2e-3424-4bb6-aac2-54c340ba5164,q07,2,B,2026-06-08T21:57:39.220857
40752e2e-3424-4bb6-aac2-54c340ba5164,q08,1,A,2026-06-08T21:58:38.699946
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q01,2,A,2026-06-09T19:48:31.116289
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q02,2,A,2026-06-09T19:50:53.484814
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q03,1,B,2026-06-09T19:52:11.808731
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q04,1,A,2026-06-09T19:53:05.311566
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q05,1,A,2026-06-09T19:54:26.358443
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q06,2,A,2026-06-09T19:56:07.157855
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q07,2,A,2026-06-09T19:57:33.415779
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q08,2,A,2026-06-09T19:58:31.675713
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q09,1,B,2026-06-09T19:59:42.431007
5f498f7d-a257-419b-8183-d0d1f3f59ef4,q10,1,A,2026-06-09T20:00:40.362479
acf4e540-1305-41ad-8647-0a9fe35db59b,q01,1,A,2026-06-09T20:07:16.177749
acf4e540-1305-41ad-8647-0a9fe35db59b,q02,2,B,2026-06-09T20:09:07.504352
acf4e540-1305-41ad-8647-0a9fe35db59b,q03,1,B,2026-06-09T20:10:38.943200
acf4e540-1305-41ad-8647-0a9fe35db59b,q04,1,A,2026-06-09T20:12:01.403702
acf4e540-1305-41ad-8647-0a9fe35db59b,q05,2,A,2026-06-09T20:13:19.329157
acf4e540-1305-41ad-8647-0a9fe35db59b,q06,2,B,2026-06-09T20:14:26.255929
acf4e540-1305-41ad-8647-0a9fe35db59b,q07,1,B,2026-06-09T20:15:44.612085
acf4e540-1305-41ad-8647-0a9fe35db59b,q08,1,B,2026-06-09T20:17:33.343559
acf4e540-1305-41ad-8647-0a9fe35db59b,q09,1,B,2026-06-09T20:18:44.606276
acf4e540-1305-41ad-8647-0a9fe35db59b,q10,1,A,2026-06-09T20:20:08.981406
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q01,2,A,2026-06-09T20:38:34.084387
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q02,2,A,2026-06-09T20:40:25.055217
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q03,1,B,2026-06-09T20:42:18.190559
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q04,2,A,2026-06-09T20:43:15.547290
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q05,2,B,2026-06-09T20:44:15.094215
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q06,1,A,2026-06-09T20:45:22.289351
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q07,1,A,2026-06-09T20:46:17.476821
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q08,2,A,2026-06-09T20:47:39.897913
749b3de7-b5a4-44c8-85a6-7b9d3191cbc5,q09,2,A,2026-06-09T20:48:32.207644
